Company,Table,Machine_1,Machine_2,Machine_3
Walter Goetz GmbH,Aktiva,12,12,
imes-icore GmbH,Aktiva,161171,119833,
Metallwarenfabrik Reichertshofen,AKTIVA,17046962,15960681,
Pacoma GmbH,Aktiva,1950600,1123156,
FPT Robotik GmbH & Co.KG,Aktiva,15028,18969,
Schmiedag GmbH,Aktiva,3165816,3952739,
Mogensen GmbH & Co.Kommanditgesellschaft,Aktiva,142794,119,
DALEX GmbH & Co. KG,AKTIVA,306829,357774,
Christian Maier GmbH & Co KG,Aktiva,1486799,1393,
Wilhelm Koenig Maschinenbau GmbH,Unknown Table,2034766,1995973,
Heinz Berger,Aktiva,229299,144455,
Hugo Beck Maschinenbau GmbH & Co. KG,AKTIVA,209807,336614,
CeraCon GmbH,Aktiva,1006332,947507,
Hubl GmbH,AKTIVA,421482,453,
J. Koenig GmbH & Co. Werkzeugfabrik,Aktiva,761169,805250,
Delimon GmbH,AKTIVA,364909,415951,
Wickert Maschinenbau GmbH,Aktiva,243766,398222,
Forst Technologie GmbH & Co. KG,Aktiva,913250,1243238,
Weber Maschinenbau GmbH Breidenbach,Aktiva,6890416,8523851,
FRANK Walz- und Schmiedetechnik GmbH,AKTIVA,5090487,5004417,
Badische Drahtwerke GmbH,Unknown Table,3668456,4636438,
Steinlen Elektromaschinenbau GmbH,Unknown Table,3,3,
Kadant PAAL GmbH,Aktiva,73011,80215,
SWM Werkzeugfabrik GmbH & Co.KG,Aktiva,1226901,1340209,
Carl Hilzinger-Thum GmbH & Co.KG,Unknown Table,1584795,1523137,2968645
Werner Bauser GmbH,A K T I V A,2181301,4166421,
Strothmann Machines & Handling GmbH,AKTIVA,634566,661525,
Erbatech GmbH,Aktiva,146115,142497,
Terrot GmbH,AKTIVA,999754,1238865,
Demmeler Maschinenbau GmbH & Co. KG,Aktiva,683966,714838,
Helmerding hiw Maschinen GmbH,Aktiva,777808,290090,
G ue l d e GmbH & Co KG Kaltwalzwerk,Aktiva,1545641,1625922,
Maucher Formenbau GmbH & Co.KG,Aktiva,2507129,1923134,
Weitkowitz GmbH,Aktiva,1980616,1949725,
TREIF Maschinenbau GmbH,AKTIVA,1340535,1673634,
VARIOVAC PS SystemPack GmbH,Aktiva,2009159,1725285,
PS Laser GmbH & Co. KG,AKTIVA,4756606,4288208,
Okuma Europe GmbH,Aktiva,185371,31,
Dillenberg GmbH & Co. KG,AKTIVA,1811416,1763099,
Treffler Maschinenbau GmbH & Co. KG,Aktiva,2744450,3043604,
Knoedler-Getriebe GmbH & Co. KG,Aktiva,3396397,3914656,
Sandvik Mining,Aktiva,864063,607933,
Kinetics Germany GmbH,Aktiva,389814,343823,
ZGG - Zeitzer Guss GmbH,AKTIVA,13701876,11129873,
Feige Filling GmbH,AKTIVA,104562,115825,
Tillmann Werkzeugbau Profiltechnik GmbH,Aktiva,4047222,3135624,
