company name,location
ROY ROBSON FASHION GmbH & Co. KG,Lüneburg
Sympatex Technologies GmbH,Unterföhring
TONI DRESS DAMENMODEN GMBH,Forchheim
HILTL Hosen-Manufaktur GmbH,Sulzbach-Rosenberg
Siegfried Leithäuser GmbH & Co. KG,Hamm
Estella Ateliers,Neustadt an der Aisch
Olsen Germany GmbH,Hamburg
helsaform GmbH,Gefrees
Mayser GmbH & Co. KG,Lindenberg
TexTeam Windel GmbH,Bielefeld
Verse GmbH,Düsseldorf
Landes Lederwarenfabrik GmbH,Isny im Allgäu
Wellensteyn International GmbH & Co. KG,Norderstedt
Rohleder GmbH,Konradsreuth
Sommermann KG,Bad Steben
Kenny S. GmbH,Stockach
TVU Textilveredlungsunion GmbH,Leutershausen
Heinecke & Klaproth GmbH & Co. KG,Bückeburg
Hutfabrik Seeberger GmbH u. Co. KG,Weiler-Simmerberg
Die Spinnerei Neuhof GmbH & Co. KG,Hof
Mattes & Ammann GmbH & Co. KG,Meßstetten
Hch.Kettelhack GmbH & Co. KG,Rheine
Golléhaug GmbH,Albstadt
Karl Rieker GmbH & Co. KG,Bodelshausen
Howana-Strumpffabrik A. W. Mehner,Weimar (Lahn)
R. u. M. Wegener GmbH & Co. KG,Lauterbach (Hessen)
PB Bade & Freizeitmode GmbH,Aichach
GREIFF-Mode GmbH & Co. KG,Bamberg
JUMBO-Textil GmbH & Co. KG,Sprockhövel
SÜDLEDER GmbH & Co. KG,Rehau
Bierbaum Proenen GmbH & Co. KG,Köln
New G.O.L. GmbH,Sulzbach am Main
ISM Heinrich Krämer GmbH & Co. KG,Lippstadt
Wilhelm Weishäupl,München
Heinrich Obermeyer GmbH & Co. KG,Oberstaufen
Hajo -Strick GmbH,Weiden in der Oberpfalz
Hegler Fashion GmbH & Co. KG,Essen
United Labels AG,Münster
SAATI Deutschland GmbH,Raesfeld
Fritz Moll Textilwerke GmbH & CO. KG,Altshausen
Wölfel & Co GmbH & Co. KG,Alsbach-Hähnlein
Brand Bekleidungs GmbH,Elsenfeld
Job - Kleidung GmbH,Mönchengladbach
Peppermint Holding GmbH,Rodewisch
Carl Stahl GmbH & Co. KG,Herbrechtingen
Ziegler Arbeitsschutz GmbH,Vaihingen an der Enz
Bamberger Kaliko Textile Finishing GmbH,Bamberg
Weise Fashion GmbH & Co. KG,Fichtenau
F.A. Schurig GmbHb.H. & Co. KG,Großröhrsdorf
Gustav Ernstmeier GmbH & Co. KG,Herford
HB PROTECTIVE WEAR GmbH & Co. KG,Thalhausen
Odenwälder BabyNest,Limbach
E. U. M. GmbH,Altena
Friedrich Wilhelm Kunath GmbH,Großröhrsdorf OT Bretnig-Hauswalde
Strumpfwerke Lindner GmbH,Hohenstein-Ernstthal
RoFa-Moden Faller GmbH & Co.,Werbach
Topp Textil GmbH,Durach
vombaur GmbH & Co. KG,Wuppertal
Friedrich Stark GmbH & Co. KG,Obersontheim
STFG Filamente GmbH,Rudolstadt
Plauener Spitzen und Stickereien GmbH,Oelsnitz/Vogtl.
Willy Maisel GmbH,Konradsreuth
pro4tex GmbH,Niederfrohna
Fahnen Kössinger GmbH,Schierling
TWD Fibres GmbH,Deggendorf
ONSKINERY GmbH & Co. KG,Pleinfeld
Dr. Günther Kast GmbH & Co. Technische,Sonthofen
HTS Textilvertriebs GmbH,Hamburg
Erich Michael GmbH + Co KG,Wiesbaden
Angels GmbH,Nagold
Roeckl,München
A. Kempf GmbH & Co. KG Uniformmützen,Teunz
FHB original GmbH & Co. KG,Spenge
NEW SPORTS GmbH,Frechen
Heinz Schiebler Norddeutsche,Flensburg
Bernhard Leiber Bekleidungswerk,Lastrup
Wilh. Wissner GmbH & Co. KG,Göppingen
Erfo Bekleidungswerk GmbH & Co. KG,Nordhorn
Hero Textil AG,Crailsheim
Ludw. Montanus GmbH & Co. KG,Aachen
KLAUS MODELLE KM,Pforzheim
Wilh. Wülfing GmbH & Co. KG,Borken
HIZA GmbH & Co. KG,Geldern
HELRO GmbH,Schwerin
SML (Central Europe) GmbH,Mettmann
PETIT BATEAU Kinderbekleidung GmbH,Düsseldorf
efix tricot GmbH,Hechingen
HOL-TEX GmbH,Schloß Holte-Stukenbrock
Ehrmann & Co,Markdorf
Klevers GmbH & Co. KG,Mönchengladbach
BON Boretius Objekt,Iffezheim
car i.t.a. GmbH & Co. KG,Kirkel
Guess? Deutschland GmbH,Düsseldorf
IQS Textilservice GmbH,Mönchengladbach
MK Technology GmbH Sicherheitsausrüstung,Lüdenscheid
OSKA Textilvertriebs GmbH,Garching bei München
Walter Stöhr Strickwarenfabrik GmbH,Wernberg-Köblitz
Connect Trade GmbH,Schmitten im Taunus
Hilco Textilgesellschaft mbH,Leinfelden-Echterdingen
TERRAX Außenhandels-GmbH,Dorsten
MAPROM GmbH,Höxter
Lana Grossa Mode mit Wolle,Gaimersheim
Authentic Style Vertriebs GmbH & Co. KG,Marktbreit
Versace Deutschland GmbH,Frankfurt am Main
Okaidi Germany GmbH,Frankfurt am Main
Bergans Outdoor GmbH,Norderstedt
Stickerei Keinath GmbH,Albstadt
Pepe Jeans London GmbH,Düsseldorf
A & R Textilproduktion GmbH,Neukirch
Dastex Reinraumzubehör GmbH & Co. KG,Muggensturm
DARPDECADE GmbH & Co. KG,Bodenheim
You & Me Fashion Habermann OHG,München
