company name,location
KIPP GmbH & Co. KG,Sulz am Neckar
Boryszew Kunststofftechnik,Gardelegen
Diesel Technic SE,Kirchdorf
Feintool System Parts Obertshausen GmbH,Obertshausen
UKM technologies GmbH,Reinsberg
Umformtechnik Radebeul GmbH,Radebeul
BOA Metal Solutions GmbH,Stutensee
Guardian Flachglas GmbH,Bitterfeld-Wolfen
UMFOTEC GmbH,Northeim
Arthur Langenhan GmbH & Co. KG,Olpe
Kromberg & Schubert GmbH & Co. KG,Renningen
August Storm GmbH & Co. KG,Spelle
allsafe GmbH & Co. KG,Engen
helag-electronic GmbH,Nagold
Wildauer Schmiede- und,Wildau
Kohlhage Automotive GmbH & Co. KG,Neuenrade
ATERA GmbH,Leutkirch im Allgäu
Martin Metallverarbeitung GmbH,Ebersdorf b.Coburg
Ascorium GmbH,Königswinter
Neapco Europe GmbH,Düren
Wagner Automotive GmbH,Kelberg
LISI Automotive Knipping,Kierspe
Maxion Wheels Werke GmbH,Königswinter
WALOR Vöhrenbach GmbH,Vöhrenbach
Mektec Europe Sales GmbH,Weinheim
Roth GmbH & Co. KG,Nürnberg
KOHL-GRUPPE AG,Köln
MA AUTOMOTIVE DEUTSCHLAND GmbH,Treuen
Rotovia Germany GmbH,Hockenheim
Boryszew Formenbau Deutschland GmbH,Doberschau-Gaußig
Gentex GmbH,Erlenbach
Schmiedetechnik Plettenberg,Plettenberg
AL-KO Technology Paderborn GmbH,Paderborn
HEWI G. Winker GmbH & Co. KG,Spaichingen
Horizon Global Germany GmbH,Hartha
REBO Lighting & Electronics GmbH,Eisenach
Silver Atena GmbH,München
Musashi Luechow GmbH,Lüchow (Wendland)
Dr. Franz Schneider GmbH,Föritztal OT Judenbach
Hörmann Automotive Gustavsburg GmbH,Ginsheim-Gustavsburg
Steel Automotive GmbH,Großbottwar
Prinz & Co. GmbH Stahlrohre,Wickede (Ruhr)
Müller GmbH Formenbau,Breidenbach
MHG Fahrzeugtechnik GmbH,Heubach
müller co-ax ag,Forchtenberg
Volkswagen Infotainment GmbH,Bochum
DENSO AUTOMOTIVE Deutschland GmbH,Eching
Integral Accumulator GmbH,Weinheim
ae group ag,Gerstungen
Eppsteiner Apparatebau GmbH Sitz Elz,Elz
Nölle-Pepin GmbH & Co. KG,Schwelm
FEP Fahrzeugelektrik Pirna GmbH & Co. KG,Pirna
Casco Schoeller GmbH,Frankfurt am Main
tmax Germany GmbH,Mannheim
Oberaigner Automotive GmbH,Laage
Bharat Forge Aluminiumtechnik GmbH,Brand-Erbisdorf
Karl Georg Schobert,Aschaffenburg
Frauenthal Airtank Elterlein GmbH,Elterlein
VOIT Automotive GmbH,St. Ingbert
oso precision GmbH,Plettenberg
Rasche Umformtechnik GmbH & Co. KG,Plettenberg
KIRCHHOFF Mobility GmbH & Co. KG,Hilden
KDK Automotive GmbH,Wächtersbach
Eggers-Fahrzeugbau GmbH,Stuhr
HITEGA Präzisionsmechanik GmbH,Gangkofen
Jörg Vogelsang GmbH & Co. KG,Hagen
Maincor Rohrsysteme GmbH & Co. KG,Schweinfurt
OEKA TECH Automotive GmbH,Bamberg
Snop Automotive Cologne GmbH,Köln
Metallwerk Biebighäuser GmbH,Leverkusen
PRINZ VERBINDUNGSELEMENTE GMBH,Plettenberg
Schweizer Group Global GmbH,Hattenhofen
BREMSKERL REIBBELAGWERKE,Estorf
Kongsberg Automotive GmbH,Hallbergmoos
LISI AUTOMOTIVE Mecano GmbH,Heidelberg
LISI AUTOMOTIVE KKP GmbH & Co. KG,Mellrichstadt
PEX Automotive GmbH,Pfullingen
IDH Anlagenbau und Montage GmbH,Glauchau
XBond GmbH & Co. KG,Ahaus
Heinrich Huhn Deutschland GmbH,Drolshagen
Rudolf Rafflenbeul Stahlwarenfabrik,Hagen
BRUSS Werk Brieselang GmbH & Co. KG,Brieselang
Falkenroth Umformtechnik GmbH,Schalksmühle
Rieger GmbH,Villingen-Schwenningen
Elektrobit Automotive GmbH,Erlangen
Happich GmbH,Wuppertal
Bruno Weisser GmbH & Co. KG,Neresheim
Konvekta Aktiengesellschaft,Schwalmstadt
Süddeutsche Gelenkscheibenfabrik,Waldkraiburg
KOKI TECHNIK,Niederwürschnitz
CCM Compressor & Components,Chemnitz
WKW Aktiengesellschaft,Velbert
Wolverine Advanced Materials GmbH,Öhringen
Globus Gummiwerke GmbH,Ahrensbök
Cotarko GmbH,Köln
Feldmann Türsysteme GmbH,Velbert
INNO FRICTION GmbH,Hamm (Sieg)
Elektro-Metall Export GmbH,Ingolstadt
Salzmann Kühler GmbH,Rielasingen-Worblingen
PLDS Germany GmbH,Wetzlar
C. F. Maier GmbH & Co KG,Königsbronn
L. Schaible GmbH & Co. KG,Villingen-Schwenningen
Auto Heinen GmbH,Bad Münstereifel
HEYCO-WERK,Remscheid
Schieffer GmbH & Co. KG,Lippstadt
Selzer Fertigungstechnik GmbH & Co. KG,Driedorf
Pfinder KG,Böblingen
A. Kayser Automotive Systems GmbH,Einbeck
Klubert + Schmidt GmbH,Pottenstein
NAF Neunkirchener Achsenfabrik AG,Neunkirchen am Brand
SEEGER ORBIS GmbH,Königstein im Taunus
Ehmann & Partner GmbH,Gundelsheim
Alcar Leichtmetallräder GmbH,Siegburg
Hermann Schnierle GmbH,Gersthofen
Schöler GmbH,Ratekau OT Pansdorf
