company name,location
PPM-Aberle GmbH & Co KG,Gutach (Schwarzwaldbahn)
Heibi-Metall Birmann GmbH,Schopfloch
PS Laser GmbH & Co. KG,Thedinghausen
Max Schön GmbH,Lübeck
Reinhold Mendritzki Kaltwalzwerk GmbH,Plettenberg
FEINGUSS BLANK GmbH,Riedlingen
RSB Rationelle,Krayenberggemeinde
Ritter Leichtmetallguß GmbH,Weinstadt
Rudolf Flender Rohr GmbH,Siegen
Saar-Hartmetall und Werkzeuge GmbH,Püttlingen
Heintzmann Holding GmbH,Bochum
Schmiedag GmbH,Hagen
GOT Godesberg Oberflächentechnik GmbH,Plettenberg
SHB Stahl- und Hartgusswerk Bösdorf GmbH,Leipzig
Sirch Behältertechnik GmbH,Löbichau
PRÄZI-FLACHSTAHL Aktiengesellschaft,Everswinkel
"Stahl- und Drahtwerk Röslau,",Röslau
Stahlkontor GmbH & Co KG,Hagen
Stahlrump GmbH & Co. KG,Iserlohn
Steeltec GmbH,Düsseldorf
PAVOY GmbH Paul van Oyen Fabrik für,Hillesheim
Helmut Rübsamen GmbH & Co. KG,Bad Marienberg (Westerwald)
Siebfabrik Arthur Maurer GmbH & Co. KG,Mössingen
Reinhard Tweer GmbH,Bielefeld
Georg Group GmbH,Willroth
Südstahl GmbH & Co. KG,Mertingen
PROGRESSIO Feinblechtechnik GmbH,Aglasterhausen
M. Gleser GmbH,Dillingen
Metallwarenfabrik Gemmingen GmbH,Gemmingen
Barth Metallwerke GmbH & Co. KG,Olpe
EEW-Bergrohr GmbH,Erndtebrück
Eisenwerk Würth GmbH,Bad Friedrichshall
Josef F. Filthaut Bronzegießerei GmbH,Iserlohn
Fritz Finkernagel Drahtwerk,Altena
Sumitomo Electric Hartmetallfabrik GmbH,Lauchheim
H. Künne GmbH & Co. KG Stahldrahtwerk,Hemer
UBB Umformtechnik GmbH,Burgbernheim
EEW-Pickhan Umformtechnik GmbH,Siegen
Wöhrle GmbH & Co. KG,Wildberg
AGRO Steel Wire GmbH,Bad Essen
Mittelrheinische Metallgießerei,Andernach
BBroch Adler - Umformtechnik GmbH & Co. KG,Solingen
Drahtwerk Waidhaus GmbH,Waidhaus
METALL-KONTOR GmbH & Co. KG,Staufenberg
Ernst Strassacker GmbH & Co. KG,Süßen
Eisengießerei Neumarkt,Neumarkt i.d.OPf.
Herold & Co. GmbH,Gefrees
TPS-Technitube Röhrenwerke GmbH,Daun
Krämer GmbH Industriebehälter,Rain am Lech
König & Co. GmbH,Netphen
Sachsen Guss GmbH,Chemnitz
Wilhelm Schwarz & Co. Bewehrungstechnik,Schlüsselfeld
Albert Hoffmann GmbH,Eschweiler
Eisenbau Krämer GmbH,Kreuztal
voestalpine Wire Germany GmbH,Finsterwalde
Karl Buch Walzengiesserei GmbH & Co. KG,Siegen
Vulcast Germany GmbH,Jünkerath
INOVA Innovative Gusserzeugnisse GmbH,Mülheim an der Ruhr
Bödenpresswerk Daaden GmbH,Daaden
Spieß GmbH,Weilrod
Warmpresswerk Max B. Schachmann GmbH,Niederstadtfeld
Stahlhammer Bommern GmbH,Hamm
Gebr. Grieshaber GmbH,Triberg im Schwarzwald
Hugo Schmitz GmbH + Co. KG,Iserlohn
KrampeHarex GmbH & Co. KG,Hamm
Wickeder Westfalenstahl GmbH,Wickede (Ruhr)
GeisslerWista GmbH,Witten
Senger GmbH,Schwarzenbach
Bender-Ferndorf Rohr GmbH,Kreuztal
Gesellschaft für Wolfram-Industrie mbH,Traunstein
FBS Industry GmbH & Co. KG,Solingen
Bronner + Martin KG Gesenkschmiede,Emmingen-Liptingen
Gabarró Deutschland GmbH,Brandenburg an der Havel
Hagener Feinstahl GmbH,Hagen
SAAR-BLANKSTAHL GmbH,Homburg
EMW Stahl Service GmbH,Neunkirchen
Gustav Wolf Drahtseilerei,Nebra (Unstrut)
Tittel Drahtwaren GmbH,Großröhrsdorf
lafortec GmbH,Grünhain-Beierfeld
Isenmann Drahtsiebe GmbH Sachsen,Panschwitz-Kuckau
Sprint Metal Edelstahlziehereien GmbH,Hemer
FRIJNS INDUSTRIAL GROUP GmbH,Aachen
Müller & Borggräfe GmbH,Gevelsberg
MICROMETAL GmbH,Müllheim
GLOBUS - Drahtseil GmbH & Co. KG,Hilden
Saar-Metallwerke GmbH,Saarbrücken
Rudolf Wiegmann Umformtechnik GmbH,Bersenbrück
Welding Alloys Deutschland GmbH,Wachtendonk
WW-K Warmwalzwerk Königswinter GmbH,Königswinter
Schüer GmbH,Bakum
R.A.B.S. Balkonbau GmbH,Anrode
HMS Maass GmbH & Co. KG,Kalletal
Bucher Metallbau GmbH,Seelbach
P.G.S. Plettenberger Gesenkschmiede GmbH,Plettenberg
Drameco GmbH,Wittlich
Emil Keck GmbH & Co. KG,Schutterwald
Huesecken Wire GmbH,Hagen
ChromStahl Stahl- und Metallhandel GmbH,Garbsen
ZGG - Zeitzer Guss GmbH,Zeitz
