company name,location
RVT Rühr- und Verfahrenstechnik,Töging am Inn
Diatool Präzisionswerkzeug GmbH,Rheinfelden (Baden)
Garant Productions GmbH,Reutlingen
Hebezone GmbH,Hanau
Stanley Black & Decker Outdoor GmbH,Saarbrücken
Schmid & Wezel Holding GmbH & Co. KG,Maulbronn
Friess-Techno-Profi GmbH,Essen
Steinbach & Vollmann GmbH,Heiligenhaus
Standex International GmbH,Krefeld
MHS Schneidetechnik GmbH,Abstatt
FRAISA GmbH Präzisionswerkzeuge,Willich
ExOne GmbH,Gersthofen
HITACHI Power Tools Europe GmbH,Willich
Nespoli Deutschland GmbH,Dinkelsbühl
LUKAS-ERZETT GmbH & Co. KG,Engelskirchen
United Salon Technologies GmbH,Solingen
Inovatools Eckerle & Ertel GmbH,Kinding
Saint-Gobain Abrasives GmbH,Wesseling
MAXION Jänsch & Ortlepp GmbH,Pößneck
OSG Germany Holding GmbH,Göppingen
"J. König GmbH & Co. Werkzeugfabrik,",Karlsruhe
Jäcklin GmbH,Augsburg
FREUND VICTORIA Gartengeräte GmbH,Schorndorf
Paul Maschinenfabrik GmbH & Co.,Dürmentingen
Karl-Heinz Arnold GmbH,Ostfildern
FELDER GMBH,Oberhausen
Max Klein GmbH & Co. KG,Solingen
Re-Bo REBER GmbH,Bopfingen
Krebs & Riedel Schleifscheibenfabrik,Bad Karlshafen
KS Tools Werkzeuge und Maschinen GmbH,Heusenstamm
KULLEN-KOTI GmbH,Reutlingen
VON ZITZEWITZ GRUPPE GmbH & Co. KG,Wuppertal
TRIUSO Qualitätswerkzeuge GmbH,Buchbach
Gölz GmbH,Hellenthal
PWS Präzisionswerkzeuge GmbH,Schmölln
Rhodius Schleifwerkzeuge GmbH & Co. KG,Burgbrohl
Sigma Laborzentrifugen GmbH,Osterode am Harz
Dr. Gühring KG,Chemnitz OT Röhrsdorf
S+B TECHNOLOGIE Schätzle GmbH,Hösbach
STIELOW GMBH.,Frankfurt am Main
Wilh. Putsch GmbH & Co. KG,Remscheid
MICON Mining and Construction Products,Nienhagen
Feinhütte Halsbrücke GmbH,Halsbrücke
Schnurr GmbH,Bischofswiesen
Hazet-Werk,Remscheid
LINCOLN ELECTRIC DEUTSCHLAND GmbH,Eisenberg (Pfalz)
Wilh. Schmitt & Comp.GmbH & Co. KG,Remscheid
Makita Engineering Germany GmbH,Hamburg
Union Special GmbH,Möglingen
Mesko-Pinsel GmbH,Wieseth
Bernhardt & Schulte GmbH & Co. KG,Meinerzhagen
Karl Schüßler GmbH & Co. KG,Bodelshausen
Sebald & Co. GmbH,Marktredwitz
CEDIMA Diamantwerkzeug- und,Celle
Bolzenschweißtechnik Heinz Soyer GmbH,Wörthsee
TKM Meyer GmbH,Bargteheide
