company name,location
RENK Test System GmbH,Augsburg
Jaudt Dosiertechnik Maschinenfabrik GmbH,Augsburg
Gilgen Müller & Weigert (GMW),Cadolzburg
Xylem Analytics Germany,Weilheim i.OB
ST SPORTSERVICE GmbH,Leipzig
Werth Messtechnik GmbH,Gießen
Störk-Tronic Störk GmbH & Co. KG,Stuttgart
FMB Feinwerk- und Meßtechnik GmbH,Berlin
IMS Messsysteme GmbH,Heiligenhaus
Teradyne GmbH,Unterhaching
AVL Analytical Technologies GmbH,Neuss
IKA-Werke GmbH & Co. KG,Staufen im Breisgau
E. Wehrle GmbH,Furtwangen im Schwarzwald
BERTHOLD TECHNOLOGIES GmbH & Co. KG,Bad Wildbad
Mess- und Regeltechnik Jücker GmbH,Dillingen
KOCO Solutions GmbH,Darmstadt
Thermo Sensor GmbH,Werne
Höfelmeyer Waagen GmbH,Georgsmarienhütte
MRS Electronic GmbH & Co. KG,Rottweil
Dr. E. Horn GmbH & Co. KG,Gärtringen
Altmann GmbH,Herford
Garvens-Waagen-Fabrik GmbH,Hannover
GMT GmbH,Fürstenwalde/Spree
Boetker Waagenbau GmbH & Co. KG,Stuhr
VacuTec Meßtechnik GmbH,Dresden
J. Klebs & Hartmann GmbH & Co KG,Ludwigshafen am Rhein
Gesellschaft für Gerätebau mbH,Dortmund
M&C TechGroup Germany GmbH,Ratingen
Petroservices GmbH Magdeburg,Magdeburg
PROMESS Gesellschaft für,Berlin
Bonfiglioli Vectron GmbH,Krefeld
Kordt GmbH & Co. KG,Eschweiler
Dr. Födisch Umweltmesstechnik AG,Markranstädt
Ewers Heizungstechnik GmbH,Schloß Holte-Stukenbrock
AST - Angewandte,Wolnzach
m & h inprocess messtechnik GmbH,Waldburg
iris-GmbH infrared & intelligent sensors,Berlin
Eckelmann FCS GmbH,Herford
topometric GmbH,Göppingen
Bruker Nano GmbH,Berlin
KoCoS Messtechnik AG,Korbach
AviComp Controls GmbH,Leipzig
VMT GmbH,Bruchsal
Holtermann Regeltechnik GmbH,Rietberg
TSE Systems GmbH,Berlin
Carl Zeiss Automated Inspection GmbH,Öhringen
MCD-Elektronik GmbH,Birkenfeld
SPECS Surface Nano Analysis GmbH,Berlin
esd electronics gmbh,Hannover
SMB International GmbH,Quickborn
GEFA Processtechnik GmbH,Dortmund
Adolf Thies GmbH & Co. KG,Göttingen
Nordwestdeutsche Zählerrevision,Bad Laer
Scienta Omicron GmbH,Taunusstein
Narda Safety Test Solutions GmbH,Pfullingen
vemm tec Messtechnik GmbH,Potsdam
SCHROEDAHL GmbH,Reichshof
regelmatic GmbH,Hammersbach
Spectron Gas Control Systems GmbH,Langen (Hessen)
Gräff GmbH,Troisdorf
Ashcroft Instruments GmbH,Baesweiler
Fischer Meß- und Regeltechnik GmbH,Bad Salzuflen
microsonic GmbH,Dortmund
Tenié u. Gores GmbH,Wesel
VETEC Ventiltechnik GmbH,Speyer
Dressler Automation GmbH,Schöppenstedt
Airtec Pneumatic GmbH,Kronberg im Taunus
Feinwerktechnik Otto Harrandt GmbH,Leutenbach
Konrad GmbH,Radolfzell am Bodensee
Guth Ventiltechnik GmbH,Offenbach an der Queich
SOCOMEC GmbH,Mannheim
Bernhard Bull Computer GmbH,Königsbach-Stein
PERCEPTRON GmbH,München
wh Münzprüfer Berlin GmbH,Berlin
