Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Daxner Germany GmbH,https://www.daxner.com/,Lauda-Königshofen,198494.0,No Match
Aqseptence Group GmbH,https://www.aqseptence.com/en/,Aarbergen,372841.0,10-15
Hübers Verfahrenstechnik,https://huebers.de/,Bocholt,2305501.0,80-120
MFI GmbH,https://www.mfi-innovations.com/de/,Benningen am Neckar,212856.0,No Match
ADITOR GmbH,https://www.aditor.de/,Saarwellingen,33616.0,No Match
FAIST Anlagenbau GmbH,https://www.faist.de/,Krumbach (Schwaben),477905.0,10-15
Werner & Pfleiderer,https://www.wp-l.de/,Dinkelsbühl,81024.0,No Match
Heinrich Steuber GmbH + Co.,https://steuber.net/de/,Mönchengladbach,24244.0,No Match
Apleona Wolfferts GmbH,https://www.wolfferts.apleona.com/,Köln,757330.0,15-20
Höcker Polytechnik GmbH,https://www.hoecker-polytechnik.de/de/,Hilter am Teutoburger Wald,820734.0,15-20
Volkmann GmbH,https://volkmann.info/,Soest,2492648.0,80-120
Kontra Anlagentechnik GmbH,http://www.kontra-handling.de/,Rüthen,604193.0,10-15
Hydro-Elektrik GmbH,https://www.hydrogroup.de/,Ravensburg,250684.0,No Match
Dehoust GmbH,http://www.dehoust.de/,Leimen,2968244.0,120-200
ONEJOON GmbH,https://www.onejoon.de/en/,Bovenden,990315.0,21-40
SPIE OSMO GmbH,https://www.spie-osmo.de/,Georgsmarienhütte,34993.0,No Match
Anlagenbau Günther GmbH,https://www.albg.eu/,Wartenberg,338281.0,10-15
Robert Josef Wolf GmbH & Co. KG,https://rjwolf.de/,Wilnsdorf,2041543.0,80-120
IEM Fördertechnik GmbH,https://www.iem.eu/,Kastl (bei Kemnath),216887.0,No Match
BTD Behälter- und Speichertechnik,https://www.btd-gmbh.de/,Dettenhausen,1574763.0,60-80
Louis Schierholz GmbH,https://www.schierholz.de/de/,Bremen,992848.0,21-40
AZO GmbH & Co. KG,https://www.azo.com/de-de,Osterburken,1986759.0,80-120
