Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Bada AG,https://www.bada.de/,Bühl,2219079.0,80-120
BaS Kunststoffverarbeitung GmbH,https://www.bas-kunststoffverarbeitung.de/,Eslarn,544763.0,10-15
bomo trendline Technik GmbH,https://www.bomo.de/willkommen,Hardt,3259864.0,120-200
qtec Kunststofftechnik GmbH Quedlinburg,http://www.qtec-online.de/,Quedlinburg,705487.0,15-20
Hunold + Knoop Kunststofftechnik GmbH,https://www.hunold-knoop.de/,Geseke,291586.0,No Match
Isowa GmbH Isolier- und Abdichtprodukte,https://www.isowa.de/,Freudenberg,1981453.0,80-120
Kunststoff Christel GmbH & Co. KG,https://www.kunststoff-christel.de/,Bad Dürrheim,1288398.0,40-60
Egon Nesper GmbH & Co. KG,https://www.nesper.com/,Ispringen,5671420.0,200-350
Reiss Kunststofftechnik GmbH,https://www.reiss-kt.de/,Tettnang,1961499.0,80-120
Gebr. Schwarz GmbH,https://schwarz-gmbh.de/,Rottweil,160101.0,No Match
Mitras Composites Systems GmbH,https://mitras-composites.com/,Radeburg,1754776.0,60-80
Kunststofftechnik Backhaus GmbH,https://kb-backhaus.de/,Kierspe,790694.0,15-20
Schmid GmbH Kunststofftechnik,https://www.schmid-kunststofftechnik.de/,Obergünzburg,1870312.0,80-120
Mitschke GmbH Co. Kunststoffwerk KG,https://mitschke-kunststoffwerk.de/,Eggenthal,1195712.0,21-40
Liedtke Kunststofftechnik GmbH,https://www.kunststoff-tiefziehtechnik-liedtke.de,Markt Indersdorf,1755489.0,60-80
Erich Rothe GmbH & Co. KG,https://www.rothe.de/de/,Kitzingen,1502818.0,60-80
Friedrichs & Rath GmbH,https://www.frira.com/,Extertal,1719648.0,60-80
Hilti Kunststofftechnik GmbH,https://www.hilti.de/,Nersingen,14150078.0,350-600
Röchling Medical Waldachtal AG,https://www.roechling.com/de/medical/waldachtal,Waldachtal,3337281.0,120-200
Plastro Mayer GmbH,https://www.plastromayer.de/,Trochtelfingen,640659.0,10-15
W. Köpp GmbH & Co. KG,https://www.koepp.de/,Aachen,1293139.0,40-60
Südbadische Gummiwerke GmbH,https://www.s-b-g.de/,Donaueschingen,442600.0,10-15
PROTEC THE CAP COMPANY GmbH & Co. KG,https://protec.de/,Oststeinbek,547590.0,10-15
VIAOPTIC GmbH,https://www.viaoptic.de/,Wetzlar,3845846.0,120-200
SICO D. u. E. Simon GmbH,https://sico.de/,Steinau an der Straße,566594.0,10-15
MITRAS Materials GmbH,https://mitras-materials.com/de/,Weiden in der Oberpfalz,8248910.0,200-350
Universal Polythex - Kunststoffe GmbH,http://www.polythex.de/de/,Übach-Palenberg,665122.0,10-15
Tip Top Industrievulkanisation,https://www.tiptop-borna.de/,Borna,393320.0,10-15
Truplast Kunststofftechnik GmbH,https://www.truplast.de/,Langgöns,748492.0,15-20
Walter Potthoff GmbH,https://w-potthoff.de/de/,Kierspe,1544669.0,60-80
Würfel Kunststofftechnik GmbH,http://www.wuerfel-kt.com/,Velten,1705908.0,60-80
KOLEKTOR KAUTT & BUX GmbH,https://www.kolektor.com/companies,Herrenberg,863865.0,15-20
PEZET Aktiengesellschaft,https://www.pezet-kunststofftechnik.de/willkommen,Haigerloch,3054287.0,120-200
Küper GmbH & Co. KG,https://www.kuepergermany.com/,Bochum,798911.0,15-20
C.F. Maier Polymertechnik GmbH & Co KG,https://www.c-f-maier.de/,Schillingsfürst,640290.0,10-15
P K T Präzisions- Kunststoff- Teile GmbH,https://www.pkt-gmbh.de/de/home/,Tiefenbronn,5770592.0,200-350
ISO-Tech Kunststoff GmbH,https://www.iso-tech.net/,Ahaus,2206365.0,80-120
Heller Kunststoffe GmbH Herborn,https://www.hellerkunststoffe.com/,Herborn,373897.0,10-15
Polytron Kunststofftechnik GmbH & Co. KG,https://www.polytron-gmbh.de/,Bergisch Gladbach,1188354.0,21-40
G. Mertgens & Co. GmbH,http://www.mertgens.de/de/,Meinerzhagen,119376.0,No Match
Polynt Composites Germany GmbH,https://www.polynt.com/,Miehlen,4819210.0,120-200
BUKUMA GmbH,https://www.bukuma.de/,Boppard,2835944.0,120-200
Heinz Plastics Böhm GmbH,https://www.hp-boehm.com/de/,Tettau,1512816.0,60-80
KUNSTSTOFF-FRÖHLICH GMBH,https://www.f-plast.com/,Bad Lauterberg im Harz,1296933.0,40-60
Varioplast Konrad Däbritz GmbH,https://vario-plast.de/de//de,Ötisheim,2983398.0,120-200
Wischemann Kunststoff GmbH,https://www.wischemann-kunststoff.de/,Ochtrup,3294857.0,120-200
Polycomb GmbH,https://www.polycomb.de/,Auengrund,3419859.0,120-200
Otto Klumpp GmbH,https://www.otto-klumpp.de/de/,Balingen,213562.0,No Match
KVR Kunststoff- und Verfahrenstechnik,https://www.kvr-gmbh.de,Radeburg,1148071.0,21-40
Stella Kunststofftechnik GmbH,https://stella-packaging.de/,Eltville am Rhein,4862601.0,120-200
I. D. von Hagen Aktiengesellschaft,http://www.jdeha.de/,Iserlohn,2356405.0,80-120
Kunststofftechnik Rodenberg GmbH,http://www.ktrgmbh.de/de,Rodenberg,1734729.0,60-80
CPS GmbH,https://www.cps-gmbh.net/,Rohrdorf,1005517.0,21-40
GETA Gesellschaft,https://geta-wangen.de/,Wangen im Allgäu,650373.0,10-15
KSM Kunststofftechnik,http://www.ksm-kunststofftechnik.de/,Meschede,850812.0,15-20
Andreas Rupp GmbH,https://www.rupp-spritzguss.de/,Eppingen,682465.0,10-15
KCL GmbH,https://sps.honeywell.com/de/de/products/safety/hand-protection/gloves,Eichenzell,3131739.0,120-200
SOLE HOERGERTSHAUSEN GmbH,http://www.gsigroup.net/gsi_spa_de.htm,Hörgertshausen,4850029.0,120-200
Poly Plast GmbH,,Marl,2569169.0,120-200
Tip Top Vulkanisiertechnik GmbH,https://www.tiptop-vulkanisiertechnik.de/,Neutraubling,230426.0,No Match
Kunststoffwerk Neuteichnitz Baier GmbH,http://www.knb-online.de/Home.html,Bautzen,6213460.0,200-350
INNO TAPE GmbH,https://www.innotape.de/,Alfeld (Leine),350226.0,10-15
2 R Kunststofftechnik GmbH & Co.,https://zwei-r.com/,Schweitenkirchen,1404789.0,40-60
Gebrüder Schmidt KG,https://gskunststoff.de/,Idar-Oberstein,628567.0,10-15
Thermodyne GmbH,https://thermodyne.de/,Osnabrück,1281584.0,40-60
Polyfoam KAUTSCHUK GmbH,https://www.polyfoam.de/,Niederzier,1206338.0,40-60
Gubesch Engineering & Production GmbH,https://www.gubesch-group.de/,Emskirchen,848121.0,15-20
