Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Musashi Luechow GmbH,https://www.lue.de.musashi-group.com/,Lüchow (Wendland),4224285.0,120-200
Hörmann Automotive Gustavsburg GmbH,http://www.hoermann-gustavsburg.eu/,Ginsheim-Gustavsburg,13264288.0,350-600
Prinz & Co. GmbH Stahlrohre,http://www.prinz-stahlrohre.de/,Wickede (Ruhr),1385376.0,40-60
MHG Fahrzeugtechnik GmbH,http://www.mhg-fahrzeugtechnik.de/,Heubach,2614049.0,120-200
müller co-ax ag,https://co-ax.com/de/index.php,Forchtenberg,2449948.0,80-120
DENSO AUTOMOTIVE Deutschland GmbH,https://www.denso-am.eu/de/,Eching,7563534.0,200-350
Eppsteiner Apparatebau GmbH Sitz Elz,http://www.eppsteiner-apparatebau.de,Elz,276234.0,No Match
FEP Fahrzeugelektrik Pirna GmbH & Co. KG,https://www.fepz.de/,Pirna,14031718.0,350-600
Casco Schoeller GmbH,https://cascoauto.com/,Frankfurt am Main,221267.0,No Match
Oberaigner Automotive GmbH,https://www.oberaigner.com/,Laage,21692.0,No Match
Bharat Forge Aluminiumtechnik GmbH,https://www.bf-at.de/de/,Brand-Erbisdorf,46384349.0,350-600
Frauenthal Airtank Elterlein GmbH,https://www.frauenthal-automotive.com/,Elterlein,5046490.0,200-350
VOIT Automotive GmbH,https://voit.de/,St. Ingbert,39325970.0,350-600
KDK Automotive GmbH,http://www.kdkautomotive.com/home/,Wächtersbach,2386915.0,80-120
Jörg Vogelsang GmbH & Co. KG,https://www.m-v-group.com/,Hagen,4322601.0,120-200
Maincor Rohrsysteme GmbH & Co. KG,https://maincor.de/,Schweinfurt,9818372.0,200-350
Snop Automotive Cologne GmbH,https://jobs.snop.eu/?locale=de_DE,Köln,22799.0,No Match
Metallwerk Biebighäuser GmbH,https://www.biebighauser.de/,Leverkusen,2158988.0,80-120
BREMSKERL REIBBELAGWERKE,https://www.bremskerl.de/de,Estorf,4000452.0,120-200
LISI AUTOMOTIVE Mecano GmbH,https://www.lisi-automotive.com/fr/implantations/lisi-automotive-mecano-gmbh/,Heidelberg,3268981.0,120-200
LISI AUTOMOTIVE KKP GmbH & Co. KG,https://www.lisi-automotive.com/en/locations/mellrichstadt-kkp-rapid-4/,Mellrichstadt,6926449.0,200-350
