company name,location
Plastro Mayer GmbH,Trochtelfingen
Josef Mawick,Werl
Hegler Plastik GmbH.,Oerlenbach
W. Köpp GmbH & Co. KG,Aachen
Folietec Kunststoffwerk AG,Roßleben-Wiehe
Südbadische Gummiwerke GmbH,Donaueschingen
PROTEC THE CAP COMPANY GmbH & Co. KG,Oststeinbek
VIAOPTIC GmbH,Wetzlar
Karl Reichenbach GmbH,Durmersheim
Germar GFP-PUR PRODUKTE GmbH,Aichelberg
SICO D. u. E. Simon GmbH,Steinau an der Straße
Extruform Kunststoffverarbeitung GmbH,Kitzingen
Menschik GmbH & Co. KG,Lindlar
Becker Kunststofftechnik GmbH,Hohentengen
DKM Dodendorfer,Sülzetal
MITRAS Materials GmbH,Weiden in der Oberpfalz
Universal Polythex - Kunststoffe GmbH,Übach-Palenberg
Haseltal,Steinbach-Hallenberg
INDIA Tastenfabrik Berlin,Berlin
Tip Top Industrievulkanisation,Borna
HMM Kunststofftechnik GmbH & Co. KG,Barchfeld-Immelborn
Tanne Kunststofftechnik GmbH,Hunderdorf
Truplast Kunststofftechnik GmbH,Langgöns
Kunststoff KG Nehl & Co.,Bünde
KRAIBURG Relastec GmbH & Co. KG,Salzwedel
Karl G. Klemz,Malente
Walter Potthoff GmbH,Kierspe
Würfel Kunststofftechnik GmbH,Velten
KOLEKTOR KAUTT & BUX GmbH,Herrenberg
M.O.L. Gummiverarbeitung GmbH & Co. KG,Vechta
PEZET Aktiengesellschaft,Haigerloch
Seibel Kunststofftechnik GmbH,Hermersberg
PTW Polyurethan-Technik Wagenfeld GmbH,Wagenfeld
Küper GmbH & Co. KG,Bochum
C.F. Maier Polymertechnik GmbH & Co KG,Schillingsfürst
P K T Präzisions- Kunststoff- Teile GmbH,Tiefenbronn
ISO-Tech Kunststoff GmbH,Ahaus
Heller Kunststoffe GmbH Herborn,Herborn
Polytron Kunststofftechnik GmbH & Co. KG,Bergisch Gladbach
SIGU Druckguß GmbH & Co. KG,Harsewinkel OT Marienfeld
G. Mertgens & Co. GmbH,Meinerzhagen
Singleplast Wilfred Single GmbH,Herford
Polynt Composites Germany GmbH,Miehlen
BUKUMA GmbH,Boppard
Beichler & Grünenwald GmbH,Löchgau
OPTIPLAN GmbH,Oelsnitz/Vogtl.
Heinz Plastics Böhm GmbH,Tettau
Kunststoffverarbeitung Winter GmbH,Eichenzell
KUNSTSTOFF-FRÖHLICH GMBH,Bad Lauterberg im Harz
WKT-Wernemann-Kunststofftechnik GmbH,Geeste
Varioplast Konrad Däbritz GmbH,Ötisheim
Peiler & Klein Kunststofftechnik GmbH,Höchstadt an der Aisch
H & K Müller GmbH & Co. KG,Engelskirchen
Wischemann Kunststoff GmbH,Ochtrup
Heinrich Schmitt GmbH,Esslingen am Neckar
Polycomb GmbH,Auengrund
Poly-Nister-Plastik GmbH & Co. KG,Streithausen
Jama Kunststoffverarbeitung-GmbH,Schneverdingen
Ingenieurbüro und Plastverarbeitung,Flöha
Otto Klumpp GmbH,Balingen
De Beer Beoplast GmbH,Langenfeld (Rheinland)
bopla Gehäuse Systeme GmbH,Bünde
Simon Kunststofftechnik GmbH,Berglen
Willi Haller GmbH,Lahr/Schwarzwald
KVR Kunststoff- und Verfahrenstechnik,Radeburg
MKT Metall- und Kunststofftechnik GmbH,Küssaberg
Erhard GmbH & Co. KG,Bad Königshofen im Grabfeld
GSH Sachsen GmbH,Hartha
TECTRO SMT GmbH,Saarburg
Stella Kunststofftechnik GmbH,Eltville am Rhein
Becker Carbon GmbH,Offenberg
I. D. von Hagen Aktiengesellschaft,Iserlohn
Kunststoffbau Langschede GmbH,Unna
HOPPE Kunststoffspritzerei und Formenbau,Blankenfelde-Mahlow
Röchling Industrial Lützen SE & Co. KG,Lützen
Walz GmbH & Co. KG,Ulm
Röchling Medical Solutions SE,Brensbach
zegla Plast Kunststoffspritzerei,Schwarzenbach
EUMA Kunststofftechnik GmbH,Flöha
Chr. Bargs GmbH & Co. KG,Neuwied
Willi Goebel Kunststoff,Brilon
MIPP Mikro-Präzisions-Plastic-Teile GmbH,Karlsruhe
Kunststofftechnik Rodenberg GmbH,Rodenberg
Kern GmbH,Großmaischeid
Formzeug Formen,Wegberg
KMT Kunststoff-,Treuen
CPS GmbH,Rohrdorf
Köllmann Automotive KG,Uelzen
Baumgarten handle systems KG,Neunkirchen
GETA Gesellschaft,Wangen im Allgäu
PLASTITEC GmbH,Haigerloch
GEK GmbH & Co. KG,Oelsnitz/Vogtl.
KSM Kunststofftechnik,Meschede
Präzisa Kunstkautschukwaren-,Ratekau
AK Kunststoff Technik GmbH,Isernhagen
Andreas Rupp GmbH,Eppingen
Epurex Films GmbH & Co. KG,Bomlitz
KCL GmbH,Eichenzell
Beku Kunststoffverarbeitung,Beverungen
AKM Anschluss-,Blaufelden
Berner Kunststofftechnik GmbH,Nagold
ET Elastomer Technik GmbH,Hammelburg
SOLE HOERGERTSHAUSEN GmbH,Hörgertshausen
Joh. Menz GmbH Technische,Steinbach-Hallenberg
Müller-Kunststofftechnik GmbH,Kirchheilingen
Poly Plast GmbH,Marl
Tip Top Vulkanisiertechnik GmbH,Neutraubling
Unnapur GmbH,Unna
Kunststoffwerk Neuteichnitz Baier GmbH,Bautzen
INNO TAPE GmbH,Alfeld (Leine)
Rehm-Dichtungen Ehlers GmbH,Peine
Uwe Etzel GmbH,Maulbronn
Schwarzpunkt Schwarz GmbH & Co. KG,Gilching
2 R Kunststofftechnik GmbH & Co.,Schweitenkirchen
Plastverarbeitung,Elxleben
Gebr. Ostendorf Kunststoffe GmbH,Vechta
TR Plast Ebeleben GmbH,Neumarkt i.d.OPf.
Gebrüder Schmidt KG,Idar-Oberstein
Thermodyne GmbH,Osnabrück
SIRO-PLAST GmbH,Langenselbold
Polyfoam KAUTSCHUK GmbH,Niederzier
Günter Mesenhöller,Lüdenscheid
Reinle Gummi & Kunststoff GmbH,Pleinfeld
E + S Holz- u. Kunststofftechnik GmbH,Arnsberg
STF Thermoform- Folien GmbH,Aicha vorm Wald
Werner Degle Kunststofftechnik,Hohenpeißenberg
Bock 2 GmbH,Frankenblick OT Mengersgereuth-Hämmern
DEKUMED Kunststoff-,Bernau am Chiemsee
AW-KW,Hechingen
KMK GmbH & Co. KG,Wetschen
Gubesch Engineering & Production GmbH,Emskirchen
G. Schmid GmbH.,Bissingen an der Teck
IKS Kunststoff- und Stahlverarbeitungs GmbH,Ingelheim am Rhein
