Company,Table,Machine_1,Machine_2,Machine_3
Helmut Meeth GmbH & Co. KG,Aktiva,1051019,1194950,
Theo Bechtold GmbH & Co KG.,Aktiva,811033,585251,
HELIMA GmbH,Aktiva,6878,10972,
Solarlux GmbH,AKTIVA,5728819,6646156,
MEBAN WST GmbH,Aktiva,509275,561804,
De-Ka Kunststoffenster GmbH,AKTIVA,2953568,3479244,
Aldra Fenster und Türen GmbH,AKTIVA,3126711,2360,
RITTER Fenster & Türen GmbH,Aktiva,580239,741943,
HAMA Alu + Holzbauwerk GmbH,Aktiva,1023947,771,
hapa AG,Aktiva,418213,376713,
Haidl Fenster & Türen GmbH,Aktiva,514248,650968,
Meißner Fenstertechnik GmbH,Aktiva,727752,1017656,
Löffel Fenster + Fassaden GmbH & Co KG,AKTIVA,382964,389007,
Diedrich Schröder GmbH,Aktiva,440639,480361,
Hydro Building Systems Germany GmbH,Aktiva,3889182,1485827,
WINDOR Fensterwerk GmbH,AKTIVA,726405,889278,
Josef Baumeister GmbH,AKTIVSEITE,488573,485913,
Konold Härtsfelder Holzindustrie GmbH,AKTIVA,203676,207788,
Menck Fenster GmbH,Aktiva,1642870,1834871,
EXTE GmbH,Aktiva,3987015,3934149,
Wigger Fenster + Fassaden GmbH,Unknown Table,2537920,1307229,
Wikka Fenster + Türen Systeme GmbH,Aktiva,390506,417524,
Portawin Kriege GmbH,AKTIVA,2172006,2582423,
al bohn Fenster-Systeme GmbH,Aktiva,1017515,1075103,
Strobel Fensterbau GmbH,Aktiva,21443,16,
DIETEL Bauelemente GmbH,Unknown Table,984321,1202550,
Finstral GmbH,AKTIVA,7035563,6638705,
PaX AG,AKTIVA,113505,148917,
